mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__max_depth,param_model__learning_rate,param_model,param_feature_selection__threshold,param_model__min_samples_leaf,param_model__alpha,param_model__l1_ratio,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse,split0_train_neg_rmse,split1_train_neg_rmse,split2_train_neg_rmse,split3_train_neg_rmse,split4_train_neg_rmse,mean_train_neg_rmse,std_train_neg_rmse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_train_neg_mae,split1_train_neg_mae,split2_train_neg_mae,split3_train_neg_mae,split4_train_neg_mae,mean_train_neg_mae,std_train_neg_mae
0.18960175514221192,0.007191650395110474,0.010747957229614257,9.52943760479685e-05,,,,Lasso(max_iter=5000),median,,1.0,,"{'model__alpha': 1.0, 'model': Lasso(max_iter=5000), 'feature_selection__threshold': 'median'}",0.9843955320390811,0.9837910066461336,0.9799856427178635,0.9802643903334586,0.9767717328732284,0.981041660921953,0.0027842041210288,11,0.9813188648334349,0.9813158063015829,0.9823681378801078,0.9822940359754518,0.9830980305917874,0.982078975116473,0.0006824272299823408,-2189.2758031182834,-2327.58744123363,-2202.8659116229073,-2123.9204887928913,-2447.0516661399984,-2258.1402621815423,115.17199689516778,11,-2229.9076550416944,-2201.211553986841,-2230.797198448541,-2249.1746770770897,-2169.763136387643,-2216.1708441883616,27.818479122201442,-1619.1632110825637,-1791.1848691894759,-1766.8220560654102,-1625.006602712066,-1844.1805410983993,-1729.271456029583,91.04109112499349,12,-1716.689477811253,-1706.245845125295,-1688.8986298819748,-1722.511129775226,-1655.0789066442228,-1697.8847978475944,24.26138850415067
0.20833349227905273,0.0006794275955091057,0.011275196075439453,9.347548163319788e-05,0.7,3,0.2,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,,,,"{'model__subsample': 0.7, 'model__max_depth': 3, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9834962577955818,0.983646752097997,0.9788405918238205,0.9805837847992368,0.9785093792146972,0.9810153531462668,0.002203401539240301,12,0.9873952973075992,0.9867327762712897,0.987717062204379,0.987387087673291,0.9880285926602368,0.9874521632233592,0.00043068051087646235,-2251.4754184891626,-2337.9218686804375,-2265.004121204705,-2106.663978370998,-2353.7439325164546,-2262.9618638523516,87.66473015172942,13,-1831.6882109498042,-1854.874922346491,-1861.9247551876144,-1898.3272631401062,-1826.0651784985832,-1854.57606602452,25.709859641785876,-1640.799361287037,-1801.3852694843733,-1825.304971214394,-1613.5875388834877,-1778.5520993786386,-1731.925848049586,87.2081087835986,13,-1354.0339342464881,-1389.3333113470105,-1354.9120504295074,-1393.2731015407296,-1346.4610138195503,-1367.602682276657,19.61287266018358
0.17274098396301268,0.0006236733165582179,0.010788202285766602,0.00010452603331369441,,,,Ridge(),1.25*median,,1.0,,"{'model__alpha': 1, 'model': Ridge(), 'feature_selection__threshold': '1.25*median'}",0.9844301567049166,0.9837893558254572,0.9803016674346573,0.9806560914804079,0.9758296214258229,0.9810013785742523,0.00306219618838957,13,0.9811277703541063,0.9811195388619838,0.982173366535494,0.9821114535499543,0.9829699298249862,0.981900411825305,0.0007028014033653704,-2186.845568403074,-2327.7059659180827,-2185.4051944721627,-2102.7376734633945,-2496.1832200273375,-2259.7755244568107,138.57399071885456,12,-2241.283806549698,-2212.7426249006376,-2243.084670688464,-2260.7415852261465,-2177.969980677559,-2227.164533608501,29.01144090602906,-1607.9871853076784,-1778.1157303082412,-1760.494260089448,-1601.9970632360119,-1865.5010120870218,-1722.81905020568,102.58615525275444,10,-1713.3543613535348,-1704.131426365079,-1687.824430176451,-1719.3997134517972,-1650.7657729286639,-1695.0951408551052,24.591551120929363
0.22233824729919432,0.0010920018953185675,0.01159358024597168,7.276103805623045e-05,0.9,5,0.2,"GradientBoostingRegressor(n_estimators=150, random_state=42)",1.25*median,,,,"{'model__subsample': 0.9, 'model__max_depth': 5, 'model__learning_rate': 0.2, 'model': GradientBoostingRegressor(n_estimators=150, random_state=42), 'feature_selection__threshold': '1.25*median'}",0.9830550834457699,0.9835310102507856,0.9794668396230575,0.9804759553467528,0.9778048684721903,0.9808667514277112,0.0021621597521275476,14,0.9879231490080254,0.987477846332195,0.988256127552695,0.9879603646656857,0.9887404610721139,0.988071589726143,0.0004167445178080412,-2281.3699217446274,-2346.180726257897,-2231.234096636683,-2112.505639722205,-2392.013324765672,-2272.6607418254166,97.0483391322193,14,-1792.924909299806,-1802.0387175740827,-1820.6089053441433,-1854.6845873754457,-1770.940516672656,-1808.2395272532267,28.193434973902402,-1680.2003216366495,-1804.6084847074114,-1799.8898132137995,-1629.0102971740862,-1799.019514071137,-1742.5456861606167,73.6296980025965,14,-1246.4920638366564,-1257.3258137047633,-1237.5316788199348,-1281.446633892946,-1222.911928686644,-1249.141623788189,19.699759073053066
0.30719723701477053,0.012140293570440617,0.016795015335083006,4.929919734877267e-05,,,,"RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42)",0.75*median,1.0,,,"{'model__min_samples_leaf': 1, 'model__max_depth': None, 'model': RandomForestRegressor(n_estimators=150, n_jobs=1, random_state=42), 'feature_selection__threshold': '0.75*median'}",0.9816327147304162,0.9831504636970964,0.9785826712767426,0.9765830733749683,0.9769559659063353,0.9793809777971119,0.0025932831813479757,15,0.9973671554743627,0.9970547170957623,0.9973507492814961,0.997404012337961,0.9974277116458413,0.9973208691670846,0.00013579416090399603,-2375.1906761640075,-2373.132352181722,-2278.766832101857,-2313.5448787896685,-2437.328055756054,-2355.592558998662,54.850016765155175,15,-837.1395378479642,-873.9530684738073,-864.7140794270094,-861.2211932055653,-846.4542628370317,-856.6964283582756,13.190312920147733,-1731.3935220394924,-1782.7111151069205,-1814.2048457308872,-1782.8094975842273,-1811.9804197457684,-1784.6198800414593,29.879208095684277,17,-646.8455589656417,-644.386538452143,-653.6423181140547,-651.1747481871737,-640.6757375264139,-647.3449802490853,4.6433648278666295
0.1740097999572754,0.0013322318537614115,0.010879039764404297,8.50059034284593e-05,,,,Ridge(),1.25*median,,5.0,,"{'model__alpha': 5, 'model': Ridge(), 'feature_selection__threshold': '1.25*median'}",0.9829315092417904,0.9818315244906615,0.9780048662293568,0.9795040831015214,0.9711714393069036,0.9786886844740469,0.004135709433608909,16,0.9788055208590531,0.978667230132595,0.9797990060628464,0.9798609512938647,0.9807951106267394,0.9795855637950197,0.0007792564548121407,-2289.673484352402,-2464.2639688078875,-2309.30099221751,-2164.445508941922,-2726.127810007168,-2390.762352865378,192.845380473265,16,-2375.1805110236432,-2352.0590858301593,-2387.7968176030136,-2398.738317576736,-2312.8612270728895,-2365.327191821288,30.48604730001139,-1649.6091904355753,-1833.2338603977173,-1790.4413042527353,-1587.44098556797,-1993.7882379769483,-1770.9027157261894,143.0490893202318,16,-1760.2288119784016,-1750.3914878438532,-1744.6960160134688,-1776.9682460928327,-1697.4162600979369,-1745.9401644052984,26.618936032389236
0.18092551231384277,0.000586835851934983,0.010844755172729491,5.128436285588397e-05,,,,ElasticNet(max_iter=5000),median,,0.01,0.5,"{'model__l1_ratio': 0.5, 'model__alpha': 0.01, 'model': ElasticNet(max_iter=5000), 'feature_selection__threshold': 'median'}",0.9832563503386085,0.9817880183708559,0.9779138803523869,0.9790210436209267,0.9706915227922943,0.9785341630950146,0.004359253072829058,17,0.9787124588509681,0.978487469273722,0.9798348885146121,0.9797537972946083,0.9807389119005726,0.9795055051668966,0.0008193600039192457,-2267.7807179388915,-2467.2126603118777,-2314.072432467289,-2189.8023671343067,-2748.7254288591516,-2397.5187213423033,197.5574412637994,17,-2380.389342996901,-2361.9481250292533,-2385.6751872028176,-2405.11134474775,-2316.242785331732,-2369.873357061691,30.136513066417088,-1627.4989665118812,-1798.0670578420031,-1795.7751523210848,-1629.159469883367,-1982.775938415962,-1766.6553169948595,131.7667508353807,15,-1754.0927874243494,-1748.683148414402,-1728.084512757801,-1767.8492776221028,-1691.4576128736485,-1738.0334678184604,26.56536063329774
0.17907896041870117,0.009428945912977719,0.011351394653320312,0.0005449126679607121,,,,Ridge(),0.75*median,,10.0,,"{'model__alpha': 10, 'model': Ridge(), 'feature_selection__threshold': '0.75*median'}",0.9794254949350629,0.9768114317148839,0.9726755620105136,0.9739153543865963,0.9627938206771812,0.9731243327448477,0.005671788672934708,18,0.9742090267278702,0.9728731442271261,0.9748358811435945,0.9748312151994736,0.975997010276154,0.9745492555148436,0.0010181113927277192,-2513.857712929763,-2783.9725622200663,-2573.9070380169364,-2441.7739226847402,-3097.007595874846,-2682.1037663452703,236.7674553632877,18,-2620.1075146720013,-2652.3103035847757,-2665.028537020107,-2681.6032310662113,-2585.6893123936147,-2640.947779747342,34.2042991549905,-1778.9775155805619,-1920.9737308572483,-1941.0367806524905,-1778.0023168889743,-2180.3314914194543,-1919.864367079746,147.1506512768227,18,-1892.9520601836637,-1913.748302002712,-1876.7075609669864,-1921.5314690363866,-1843.2672748852794,-1889.6413334150056,28.02471541490139
0.17619476318359376,0.0006252603780425215,0.010808753967285156,0.00014841623765724283,,,,ElasticNet(max_iter=5000),median,,0.1,0.7,"{'model__l1_ratio': 0.7, 'model__alpha': 0.1, 'model': ElasticNet(max_iter=5000), 'feature_selection__threshold': 'median'}",0.9697825572483997,0.9612265174746524,0.955255008159145,0.95774026328846,0.942702137849232,0.957341296803978,0.00881699098982626,19,0.957556541777655,0.9573684433577779,0.9601260503799233,0.960026814500834,0.9620106917914735,0.9594177083615326,0.0017469831069850967,-3046.525714180643,-3599.9410412700986,-3293.741068946901,-3107.9668249320534,-3843.2969583043373,-3378.294321526807,301.8779015895195,19,-3361.171157420741,-3324.988890685368,-3354.7149786842915,-3379.463622908153,-3252.9273446709967,-3334.6531988739102,44.466088954931266,-2118.138188847379,-2385.3379548268745,-2374.396222879598,-2148.013147586161,-2553.2164655790048,-2315.8203959438033,162.39349739222442,19,-2314.7745233382816,-2290.6559226044637,-2261.820438683462,-2324.356445401618,-2230.7530767340104,-2284.4720813523672,34.484978617771645
0.18277621269226074,0.009107215177114422,0.011153793334960938,0.0005124235870031362,,,,ElasticNet(max_iter=5000),0.75*median,,0.1,0.3,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1, 'model': ElasticNet(max_iter=5000), 'feature_selection__threshold': '0.75*median'}",0.958581038416469,0.9467879267711194,0.9388108647597933,0.9412952926086912,0.9251098776330905,0.9421170000378327,0.010897064396860561,20,0.9424453350066873,0.9428219971531178,0.9459841917283923,0.9458163626843459,0.9486477588500822,0.9451431290845251,0.002285117326260571,-3566.7740426181526,-4217.286184525377,-3851.717228167985,-3663.1056513095587,-4393.867973851368,-3938.550216094489,318.3190851495928,20,-3914.04227605273,-3850.6947621187173,-3904.5540534031325,-3934.5717943525515,-3782.01608693485,-3877.175794572396,55.06291372890141,-2346.6396274808144,-2622.837316557874,-2591.616658291031,-2414.5790993406604,-2783.6907748232898,-2551.8726952987336,155.77247874787966,20,-2559.930950712789,-2518.311185870949,-2498.2585874226374,-2557.3121717298213,-2448.8956640082715,-2516.5417119488934,41.12966791416372
