alpha,feature,coefficient
0.09249147277217336,s3_x_s4,-4.335152938427055
0.12154742500762872,age,2.5856309742820325
0.12154742500762872,sex,-11.942373592195032
0.12154742500762872,bmi,24.4680080464008
0.12154742500762872,bp,15.64993202479137
0.12154742500762872,s1,-10.55207507910251
0.12154742500762872,s2,-3.2001489711421045
0.12154742500762872,s3,1.0918194586320817
0.12154742500762872,s4,3.482600555567404
0.12154742500762872,s5,36.84809810918001
0.12154742500762872,s6,2.202720819776389
0.12154742500762872,bmi_x_bp,6.7645331443178165
0.12154742500762872,bmi_x_s5,1.3565918267981472
0.12154742500762872,s1_minus_s2,-15.798044639478514
0.12154742500762872,s3_x_s4,-4.338278551765698
0.1597312280060254,age,2.5859967757599147
0.1597312280060254,sex,-11.940813764963828
0.1597312280060254,bmi,24.469183717878572
0.1597312280060254,bp,15.648288867415916
0.1597312280060254,s1,-10.522558549765584
0.1597312280060254,s2,-3.195350015629546
0.1597312280060254,s3,1.0245449731170848
0.1597312280060254,s4,3.458742483864833
0.1597312280060254,s5,36.78966825309248
0.1597312280060254,s6,2.2056334579320502
0.1597312280060254,bmi_x_bp,6.765288785385737
0.1597312280060254,bmi_x_s5,1.3520030436619634
0.1597312280060254,s1_minus_s2,-15.744972135814727
0.1597312280060254,s3_x_s4,-4.342272361149221
0.20991037201085547,age,2.5864783502728157
0.20991037201085547,sex,-11.938766006459039
0.20991037201085547,bmi,24.47069874513443
0.20991037201085547,bp,15.64613951059445
0.20991037201085547,s1,-10.484200699523742
0.20991037201085547,s2,-3.189207192376179
0.20991037201085547,s3,0.9372271501055187
0.20991037201085547,s4,3.4281282459134346
0.20991037201085547,s5,36.71344269773059
0.20991037201085547,s6,2.2094489396432078
0.20991037201085547,bmi_x_bp,6.766264827658649
0.20991037201085547,bmi_x_s5,1.3460256314840608
0.20991037201085547,s1_minus_s2,-15.67580220150816
0.20991037201085547,s3_x_s4,-4.347328565806695
0.2758531617629184,age,2.587112526929864
0.2758531617629184,sex,-11.936078382184059
0.2758531617629184,bmi,24.47263871610632
0.2758531617629184,bp,15.643331778520718
0.2758531617629184,s1,-10.434521607389643
0.2758531617629184,s2,-3.1814096101516225
0.2758531617629184,s3,0.8243210694531956
0.2758531617629184,s4,3.3891389443402815
0.2758531617629184,s5,36.61422229498063
0.2758531617629184,s6,2.2144422260245733
0.2758531617629184,bmi_x_bp,6.767518788959765
0.2758531617629184,bmi_x_s5,1.338260311835407
0.2758531617629184,s1_minus_s2,-15.58587835511134
0.2758531617629184,s3_x_s4,-4.353650238633827
0.36251170499885355,age,2.5879478471001756
0.36251170499885355,sex,-11.932552011663692
0.36251170499885355,bmi,24.475101758647607
0.36251170499885355,bp,15.63967016746179
0.36251170499885355,s1,-10.370459616214546
0.36251170499885355,s2,-3.1716204425099335
0.36251170499885355,s3,0.6790370809673464
0.36251170499885355,s4,3.3399733634115627
0.36251170499885355,s5,36.48544021023983
0.36251170499885355,s6,2.2209685687591647
0.36251170499885355,bmi_x_bp,6.769118480304316
0.36251170499885355,bmi_x_s5,1.3282074144011666
0.36251170499885355,s1_minus_s2,-15.469351292540797
0.36251170499885355,s3_x_s4,-4.361420021216172
0.47639380104013407,age,2.5890481350016934
0.47639380104013407,sex,-11.92792667168689
0.47639380104013407,bmi,24.47819314489804
0.47639380104013407,bp,15.634904919643013
0.47639380104013407,s1,-10.288310178752514
0.47639380104013407,s2,-3.1595104747753666
0.47639380104013407,s3,0.49325462864074215
0.47639380104013407,s4,3.278782433366955
0.47639380104013407,s5,36.31890335901767
0.47639380104013407,s6,2.2294845651532915
0.47639380104013407,bmi_x_bp,6.77114044390343
0.47639380104013407,bmi_x_s5,1.3152514161830138
0.47639380104013407,s1_minus_s2,-15.318975909995816
0.47639380104013407,s3_x_s4,-4.370744756693084
0.6260516572014821,age,2.5904968947797484
0.6260516572014821,sex,-11.921861907371268
0.6260516572014821,bmi,24.482012643637233
0.6260516572014821,bp,15.62871900473018
0.6260516572014821,s1,-10.183710139019453
0.6260516572014821,s2,-3.144821323090087
0.6260516572014821,s3,0.2575692192825142
0.6260516572014821,s4,3.203936611559275
0.6260516572014821,s5,36.1045525448507
0.6260516572014821,s6,2.240573104465688
0.6260516572014821,bmi_x_bp,6.773665346668361
0.6260516572014821,bmi_x_s5,1.2986499511077176
0.6260516572014821,s1_minus_s2,-15.125942357550567
0.6260516572014821,s3_x_s4,-4.381560282006482
0.8227241341700474,age,2.5924023925190123
0.8227241341700474,sex,-11.913912063428969
0.8227241341700474,bmi,24.486629589182346
0.8227241341700474,bp,15.620712734312395
0.8227241341700474,s1,-10.051705246278425
0.8227241341700474,s2,-3.1274708450598756
0.8227241341700474,s3,-0.03842965379668137
0.8227241341700474,s4,3.1144869459790105
0.8227241341700474,s5,35.83029466751418
0.8227241341700474,s6,2.2549718010855084
0.8227241341700474,bmi_x_bp,6.7767684390188245
0.8227241341700474,bmi_x_s5,1.2775330530968754
0.8227241341700474,s1_minus_s2,-14.879795452073036
0.8227241341700474,s3_x_s4,-4.393480140552064
1.0811807510766078,age,2.594902839129171
1.0811807510766078,sex,-11.903492898375964
1.0811807510766078,bmi,24.492038252163457
1.0811807510766078,bp,15.61038545941498
1.0811807510766078,s1,-9.886948162431112
1.0811807510766078,s2,-3.1077112196175647
1.0811807510766078,s3,-0.40553032966312375
1.0811807510766078,s4,3.010876731133315
1.0811807510766078,s5,35.481988971341906
1.0811807510766078,s6,2.2736035831179944
1.0811807510766078,bmi_x_bp,6.780502685531853
1.0811807510766078,bmi_x_s5,1.2509211995713918
1.0811807510766078,s1_minus_s2,-14.56852145153182
1.0811807510766078,s3_x_s4,-4.40557393800535
1.4208308325339238,age,2.5981702481781435
1.4208308325339238,sex,-11.889836285252136
1.4208308325339238,bmi,24.498083286947903
1.4208308325339238,bp,15.597113084530285
1.4208308325339238,s1,-9.684074003981317
1.4208308325339238,s2,-3.0863396073855025
